webRoot	totalPageNum	breadth	totalLinkNum	linkBreadth	linksPerPageAv	timePerPage
bamnuttall.co.uk	57	153	7469	7382	84.9298245614035	2352.9423076923076
saltashconstruction.co.uk	8	25	229	215	16.125	199.875
jnbentley.co.uk	109	9768	13801	13673	108.88073394495413	2467.7757009345796
ramboll.co.uk	60	405	4767	4694	65.53333333333333	819.9230769230769
hop.uk.com	56	262	2042	1982	35.017857142857146	339.14814814814815
thomasons.co.uk	66	279	7662	7571	80.83333333333333	2138.813559322034
integral.co.uk	45	102	3385	3325	55.82222222222222	330.8837209302326
sbcivils.co.uk	63	130	10146	10026	83.73015873015873	373.96774193548384
odysseymarkides.com	11	41	578	555	24.09090909090909	310.09090909090907
bcsconsulting.co.uk	8	21	124	113	11.625	351.125
breheny.co.uk	41	226	3148	3082	41.073170731707314	1464.9354838709678
ice.org.uk	113	1594	15620	15474	105.54867256637168	2602.7283950617284
aleckassociates.co.uk	58	329	3966	3901	60.36206896551724	1027.8297872340424
hyderconsulting.com	113	728	19245	19085	122.4424778761062	503.7227722772277
arcadis.com	170	611	10962	10742	45.44117647058823	1590.774193548387
richardjackson.uk.com	93	317	11377	11257	95.6774193548387	1597.2727272727273
furnesspartnership.com	12	31	228	213	15.416666666666666	4936.636363636364
gshgroup.com	16	40	779	747	24.875	711.5625
graham.co.uk	39	267	5905	5824	68.94871794871794	378.1111111111111
spiematthewhall.com	20	73	902	873	31.4	961.3333333333334
mrhydraulics.co.uk	15	15	278	259	14.8	358.2142857142857
clarkenichollsmarcel.com	23	66	850	808	16.52173913043478	1140
abbeypynford.co.uk	53	380	1504	1439	21.132075471698112	438.7692307692308
conisbee.co.uk	9	52	302	285	18.333333333333332	933
interserve.com	259	831	127902	127506	295.94208494208493	1014.2164948453608
realtimecivil.co.uk	14	25	499	475	21.714285714285715	371.61538461538464
bilfinger.com	205	2427	63049	62770	224.61951219512196	189.5235602094241
shepherd-group.com	39	110	2784	2730	48.87179487179487	281.94594594594594
balfourbeattycsuk.com	97	254	7262	7117	42.79381443298969	867.6458333333334
osborne.co.uk	38	467	4250	4178	54.5	296.09375
